unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
141	134	0	0	0	0	38101.4	1
168	155	0	0	0	0	36794.3	2
149	144	0	0	0	0	34142.8	3
141	147	0	0	0	0	26467.0	4
178	123	0	0	0	0	31787.7	5
151	144	0	0	0	0	33430.6	6
157	154	0	0	0	0	23283.6	7
152	152	0	0	0	0	27605.3	8
154	148	0	0	0	0	34631.1	9
146	148	0	0	0	0	30615.9	10
133	146	0	0	0	0	38159.1	11
140	127	0	0	0	0	24473.1	12
151	163	0	0	0	0	37120.2	13
154	146	0	0	0	0	28780.8	14
165	140	0	0	0	0	23597.3	15
120	157	0	0	0	0	39179.6	16
147	143	0	0	0	0	35041.8	17
162	146	0	0	0	0	23325.4	18
157	134	0	0	0	0	32795.3	19
145	134	0	0	0	0	22420.4	20
142	145	0	0	0	0	38180.6	21
143	158	0	0	0	0	22260.9	22
139	143	0	0	0	0	31484.7	23
148	151	0	0	0	0	21381.5	24
145	143	0	0	0	0	39785.9	25
160	157	0	0	0	0	39136.9	26
141	141	0	0	0	0	33739.6	27
161	150	0	0	0	0	34626.8	28
146	127	0	0	0	0	25610.7	29
146	140	0	0	0	0	28644.1	30
145	148	0	0	0	0	21003.4	31
153	148	0	0	0	0	38669.7	32
153	156	0	0	0	0	29191.1	33
151	150	0	0	0	0	24024.7	34
143	161	0	0	0	0	23463.3	35
164	138	0	0	0	0	32129.8	36
149	164	0	0	0	0	32600.6	37
162	138	0	0	0	0	33267.7	38
116	153	0	0	0	0	30729.9	39
143	136	0	0	0	0	29544.0	40
155	154	0	0	0	0	26171.7	41
176	156	0	0	0	0	33527.1	42
140	135	0	0	0	0	30916.0	43
124	148	0	0	0	0	24968.1	44
137	137	0	0	0	0	34852.9	45
162	160	0	0	0	0	24913.2	46
140	151	0	0	0	0	20060.9	47
159	167	0	0	0	0	29308.0	48
150	162	0	0	0	0	36966.3	49
158	144	0	0	0	0	24705.6	50
129	154	0	0	0	0	26633.3	51
143	147	0	0	0	0	24269.2	52
146	157	0	0	0	0	35986.4	53
159	140	0	0	0	0	34665.4	54
160	163	0	0	0	0	21684.3	55
144	142	0	0	0	0	30016.5	56
148	157	0	0	0	0	21278.6	57
127	147	0	0	0	0	38366.3	58
134	133	0	0	0	0	21941.6	59
146	149	0	0	0	0	37335.8	60
157	136	0	0	0	0	39206.0	61
147	133	0	0	0	0	38722.1	62
144	137	0	0	0	0	28241.6	63
163	133	0	0	0	0	33479.6	64
146	153	0	0	0	0	27199.1	65
168	133	0	0	0	0	24036.5	66
132	154	0	0	0	0	34157.0	67
148	134	0	0	0	0	25080.7	68
152	140	0	0	0	0	25375.2	69
176	145	0	0	0	0	25781.2	70
141	167	0	0	0	0	34997.2	71
133	154	0	0	0	0	35568.3	72
144	136	0	0	0	0	28361.7	73
152	153	0	0	0	0	34565.5	74
155	165	0	0	0	0	37497.3	75
151	141	0	0	0	0	39459.6	76
160	140	0	0	0	0	22119.9	77
150	170	0	0	0	0	21329.1	78
