unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
12	15	0	0	0	0	21480.5	1
9	11	0	0	0	0	32436.2	2
10	8	0	0	0	0	28563.5	3
9	12	0	0	0	0	27204.1	4
10	15	0	0	0	0	20940.4	5
12	6	0	0	0	0	35348.3	6
10	11	0	0	0	0	35646.5	7
9	7	0	0	0	0	20755.7	8
23	14	0	0	0	0	23594.0	9
18	14	0	0	0	0	37005.2	10
6	16	0	0	0	0	34638.8	11
14	13	0	0	0	0	39104.0	12
8	16	0	0	0	0	35875.3	13
11	15	0	0	0	0	20411.6	14
12	13	0	0	0	0	31650.7	15
18	10	0	0	0	0	32807.8	16
7	14	0	0	0	0	29153.0	17
16	9	0	0	0	0	39747.8	18
12	10	0	0	0	0	24506.9	19
5	13	0	0	0	0	21629.3	20
9	12	0	0	0	0	24943.2	21
12	7	0	0	0	0	27467.5	22
15	15	0	0	0	0	20054.0	23
7	7	0	0	0	0	20125.6	24
17	8	0	0	0	0	22520.2	25
14	7	0	0	0	0	36283.3	26
15	10	0	0	0	0	21415.9	27
14	7	0	0	0	0	27906.6	28
11	15	0	0	0	0	28362.6	29
10	16	0	0	0	0	30233.9	30
17	11	0	0	0	0	20948.2	31
13	16	0	0	0	0	32986.1	32
19	7	0	0	0	0	33046.1	33
13	9	0	0	0	0	32360.9	34
15	9	0	0	0	0	23925.6	35
14	15	0	0	0	0	27619.6	36
9	11	0	0	0	0	36820.7	37
8	12	0	0	0	0	27918.0	38
13	15	0	0	0	0	25441.2	39
5	18	0	0	0	0	20943.4	40
9	10	0	0	0	0	31249.6	41
12	7	0	0	0	0	28737.2	42
11	17	0	0	0	0	38182.4	43
14	13	0	0	0	0	39808.9	44
15	10	0	0	0	0	38248.8	45
11	18	0	0	0	0	20713.9	46
15	9	0	0	0	0	26945.3	47
15	10	0	0	0	0	23034.4	48
8	8	0	0	0	0	26087.8	49
9	20	0	0	0	0	27054.9	50
17	14	0	0	0	0	28340.1	51
19	12	0	0	0	0	38967.2	52
20	13	0	0	0	0	31836.4	53
9	13	0	0	0	0	29195.3	54
10	21	0	0	0	0	36928.9	55
11	16	0	0	0	0	27579.9	56
10	16	0	0	0	0	26981.5	57
16	15	0	0	0	0	20628.4	58
15	11	0	0	0	0	22193.0	59
13	14	0	0	0	0	24537.1	60
17	12	0	0	0	0	28774.1	61
12	19	0	0	0	0	27194.7	62
16	14	0	0	0	0	32826.5	63
6	14	0	0	0	0	37458.8	64
13	15	0	0	0	0	35869.0	65
8	10	0	0	0	0	37401.0	66
15	16	0	0	0	0	31129.2	67
8	17	0	0	0	0	35249.9	68
16	11	0	0	0	0	21574.1	69
15	14	0	0	0	0	29598.4	70
17	15	0	0	0	0	31478.5	71
12	16	0	0	0	0	25909.2	72
19	18	0	0	0	0	38351.0	73
16	18	0	0	0	0	24568.3	74
13	12	0	0	0	0	29102.9	75
12	17	0	0	0	0	23396.1	76
10	16	0	0	0	0	29050.4	77
11	10	0	0	0	0	20722.2	78
13	15	0	0	0	0	32033.0	79
14	19	0	0	0	0	39775.4	80
19	15	0	0	0	0	21697.1	81
14	15	0	0	0	0	32255.1	82
15	16	0	0	0	0	23603.4	83
11	20	0	0	0	0	20728.6	84
17	17	0	0	0	0	35817.5	85
11	18	0	0	0	0	36834.0	86
15	9	0	0	0	0	27697.1	87
9	20	0	0	0	0	21626.6	88
25	15	0	0	0	0	31275.2	89
21	17	0	0	0	0	20458.3	90
14	14	0	0	0	0	36246.5	91
13	16	0	0	0	0	38863.8	92
14	17	0	0	0	0	27750.4	93
15	14	0	0	0	0	35079.4	94
14	17	0	0	0	0	34760.7	95
10	14	0	0	0	0	31974.3	96
17	22	0	0	0	0	24954.4	97
9	19	0	0	0	0	26979.7	98
16	11	0	0	0	0	27086.7	99
15	14	0	0	0	0	32497.0	100
20	9	0	0	0	0	22918.5	101
15	15	0	0	0	0	24655.5	102
13	17	0	0	0	0	28111.1	103
20	15	0	0	0	0	32793.0	104
22	14	0	0	0	0	27164.3	105
14	10	0	0	0	0	29560.6	106
8	15	0	0	0	0	20838.6	107
18	16	0	0	0	0	37362.4	108
14	14	0	0	0	0	20121.9	109
17	15	0	0	0	0	31617.1	110
15	15	0	0	0	0	37108.3	111
16	20	0	0	0	0	39924.5	112
12	15	0	0	0	0	23804.0	113
15	17	0	0	0	0	25766.1	114
16	16	0	0	0	0	28708.7	115
14	16	0	0	0	0	29700.2	116
15	21	0	0	0	0	28790.1	117
22	19	0	0	0	0	34165.1	118
18	12	0	0	0	0	35713.6	119
17	10	0	0	0	0	31719.7	120
16	14	0	0	0	0	31843.9	121
12	17	0	0	0	0	34982.3	122
18	11	0	0	0	0	29868.2	123
15	19	0	0	0	0	29957.5	124
13	22	0	0	0	0	20635.0	125
11	21	0	0	0	0	22605.6	126
15	19	0	0	0	0	33490.2	127
18	21	0	0	0	0	23716.8	128
7	21	0	0	0	0	23591.3	129
20	18	0	0	0	0	23985.9	130
11	23	0	0	0	0	24645.8	131
14	14	0	0	0	0	29013.6	132
11	17	0	0	0	0	28333.0	133
22	17	0	0	0	0	36898.4	134
19	10	0	0	0	0	38778.0	135
14	23	0	0	0	0	24219.2	136
15	15	0	0	0	0	30633.5	137
22	14	0	0	0	0	24835.6	138
23	16	0	0	0	0	25330.7	139
18	12	0	0	0	0	20526.2	140
9	17	0	0	0	0	33135.6	141
21	13	0	0	0	0	25057.5	142
12	21	0	0	0	0	23295.2	143
19	11	0	0	0	0	32634.1	144
16	16	0	0	0	0	24839.9	145
17	11	0	0	0	0	22688.6	146
21	19	0	0	0	0	20853.7	147
18	19	0	0	0	0	38292.6	148
28	20	0	0	0	0	25079.2	149
17	24	0	0	0	0	35193.5	150
16	21	0	0	0	0	22069.5	151
18	18	0	0	0	0	31816.3	152
15	22	0	0	0	0	32685.0	153
20	12	0	0	0	0	37327.3	154
17	25	0	0	0	0	22741.2	155
17	13	0	0	0	0	33603.8	156
16	13	0	0	0	0	22151.3	157
24	25	0	0	0	0	21608.6	158
19	17	0	0	0	0	36799.7	159
19	12	0	0	0	0	27040.0	160
15	11	0	0	0	0	30438.2	161
24	12	0	0	0	0	33643.8	162
30	18	0	0	0	0	27332.1	163
16	20	0	0	0	0	33088.7	164
14	23	0	0	0	0	39916.4	165
17	19	0	0	0	0	38334.5	166
20	19	0	0	0	0	22906.3	167
17	23	0	0	0	0	37218.4	168
15	14	0	0	0	0	23196.9	169
18	19	0	0	0	0	37829.3	170
21	11	0	0	0	0	35065.5	171
18	14	0	0	0	0	26813.9	172
21	22	0	0	0	0	21249.0	173
18	15	0	0	0	0	34366.2	174
17	24	0	0	0	0	35799.9	175
18	9	0	0	0	0	25504.6	176
20	20	0	0	0	0	26866.7	177
16	20	0	0	0	0	39721.8	178
27	20	0	0	0	0	22599.8	179
8	21	0	0	0	0	35539.0	180
22	19	0	0	0	0	35390.6	181
24	19	0	0	0	0	24334.1	182
14	22	0	0	0	0	20021.4	183
21	23	0	0	0	0	27488.0	184
16	17	0	0	0	0	37735.2	185
20	17	0	0	0	0	38912.9	186
29	16	0	0	0	0	38744.0	187
22	15	0	0	0	0	34585.1	188
17	14	0	0	0	0	23203.8	189
18	20	0	0	0	0	31229.5	190
18	32	0	0	0	0	21616.7	191
22	19	0	0	0	0	28438.0	192
18	19	0	0	0	0	23277.8	193
14	15	0	0	0	0	22429.1	194
25	23	0	0	0	0	21081.4	195
27	23	0	0	0	0	35332.9	196
18	12	0	0	0	0	33970.1	197
